schemaname,tablename,policyname,permissive,roles,cmd,qual,with_check
public,decisions,dec_sel,PERMISSIVE,{public},SELECT,"((EXISTS ( SELECT 1
   FROM players me
  WHERE ((me.game_id = decisions.game_id) AND (me.user_id = auth.uid()) AND (me.left_at IS NULL)))) OR (EXISTS ( SELECT 1
   FROM trainer_memberships t
  WHERE ((t.game_id = decisions.game_id) AND (t.user_id = auth.uid())))))",null
public,decisions,decisions_insert_own,PERMISSIVE,{authenticated},INSERT,null,"(EXISTS ( SELECT 1
   FROM players p
  WHERE ((p.id = decisions.player_id) AND (p.user_id = auth.uid()))))"
public,decisions,decisions_select_own,PERMISSIVE,{authenticated},SELECT,"(EXISTS ( SELECT 1
   FROM players p
  WHERE ((p.id = decisions.player_id) AND (p.user_id = auth.uid()))))",null
public,decisions,decisions_select_scoped,PERMISSIVE,"{anon,authenticated}",SELECT,"(EXISTS ( SELECT 1
   FROM players p
  WHERE ((p.user_id = auth.uid()) AND (p.game_id = decisions.game_id) AND ((p.id = decisions.player_id) OR (p.is_gm = true) OR (p.role = 'TRAINER'::text) OR (""left""(decisions.block_id, 6) = 'COMMS_'::text)))))",null
public,decisions,decisions_select_trainer_gm,PERMISSIVE,{authenticated},SELECT,"(EXISTS ( SELECT 1
   FROM (players me
     JOIN players owner ON ((owner.game_id = me.game_id)))
  WHERE ((owner.id = decisions.player_id) AND (me.user_id = auth.uid()) AND ((me.role = 'TRAINER'::text) OR COALESCE(me.is_gm, false)))))",null
public,decisions,decisions_trainer_read_all,PERMISSIVE,{authenticated},SELECT,"(EXISTS ( SELECT 1
   FROM trainer_memberships tm
  WHERE ((tm.game_id = decisions.game_id) AND (tm.user_id = auth.uid()))))",null
public,decisions,decisions_update_own,PERMISSIVE,{authenticated},UPDATE,"(EXISTS ( SELECT 1
   FROM players p
  WHERE ((p.id = decisions.player_id) AND (p.user_id = auth.uid()))))","(EXISTS ( SELECT 1
   FROM players p
  WHERE ((p.id = decisions.player_id) AND (p.user_id = auth.uid()))))"
public,events,ev_sel,PERMISSIVE,{public},SELECT,"((EXISTS ( SELECT 1
   FROM players me
  WHERE ((me.game_id = events.game_id) AND (me.user_id = auth.uid()) AND (me.left_at IS NULL)))) OR (EXISTS ( SELECT 1
   FROM trainer_memberships t
  WHERE ((t.game_id = events.game_id) AND (t.user_id = auth.uid())))))",null
public,events,events_insert_gm_only,PERMISSIVE,{public},INSERT,null,"(is_gm_of_game(game_id) OR (type = ANY (ARRAY['decision_impact'::text, 'day_change'::text])))"
public,events,events_select_members,PERMISSIVE,{public},SELECT,is_member_of_game(game_id),null
