table_name,constraint_name,constraint_type,column_name
decisions,2200_17335_4_not_null,CHECK,null
decisions,2200_17335_10_not_null,CHECK,null
decisions,decisions_day_check,CHECK,null
decisions,decisions_option_id_check,CHECK,null
decisions,2200_17335_3_not_null,CHECK,null
decisions,2200_17335_5_not_null,CHECK,null
decisions,2200_17335_1_not_null,CHECK,null
decisions,2200_17335_2_not_null,CHECK,null
decisions,decisions_game_id_fkey,FOREIGN KEY,game_id
decisions,decisions_player_id_fkey,FOREIGN KEY,player_id
decisions,decisions_pkey,PRIMARY KEY,id
decisions,uq_decisions_upsert,UNIQUE,game_id
decisions,uq_decisions_upsert,UNIQUE,day
decisions,uq_decisions_upsert,UNIQUE,block_id
decisions,uq_decisions_upsert,UNIQUE,player_id
events,2200_17404_8_not_null,CHECK,null
events,2200_17404_4_not_null,CHECK,null
events,2200_17404_2_not_null,CHECK,null
events,events_day_check,CHECK,null
events,2200_17404_1_not_null,CHECK,null
events,2200_17404_5_not_null,CHECK,null
events,events_type_check,CHECK,null
events,events_visibility_check,CHECK,null
events,events_game_id_fkey,FOREIGN KEY,game_id
events,events_pkey,PRIMARY KEY,id
game_admin_settings,2200_17360_11_not_null,CHECK,null
game_admin_settings,2200_17360_10_not_null,CHECK,null
game_admin_settings,2200_17360_9_not_null,CHECK,null
game_admin_settings,2200_17360_7_not_null,CHECK,null
game_admin_settings,2200_17360_12_not_null,CHECK,null
game_admin_settings,2200_17360_4_not_null,CHECK,null
game_admin_settings,2200_17360_2_not_null,CHECK,null
game_admin_settings,2200_17360_1_not_null,CHECK,null
game_admin_settings,gas_auth_mode_chk,CHECK,null
game_admin_settings,game_admin_settings_game_fk,FOREIGN KEY,game_id
game_admin_settings,game_admin_settings_game_id_fkey,FOREIGN KEY,game_id
game_admin_settings,game_admin_settings_pkey,PRIMARY KEY,game_id
game_credit_history,2200_22705_6_not_null,CHECK,null
game_credit_history,game_credit_history_amount_check,CHECK,null
game_credit_history,game_credit_history_day_check,CHECK,null
game_credit_history,game_credit_history_role_check,CHECK,null
game_credit_history,2200_22705_1_not_null,CHECK,null
game_credit_history,2200_22705_2_not_null,CHECK,null
game_credit_history,2200_22705_3_not_null,CHECK,null
game_credit_history,2200_22705_4_not_null,CHECK,null
game_credit_history,2200_22705_5_not_null,CHECK,null
game_credit_history,game_credit_history_game_id_fkey,FOREIGN KEY,game_id
game_credit_history,game_credit_history_pkey,PRIMARY KEY,id
game_credit_history,game_credit_history_game_id_day_key,UNIQUE,day
game_credit_history,game_credit_history_game_id_day_key,UNIQUE,game_id
game_injected_content,2200_28881_3_not_null,CHECK,null
game_injected_content,2200_28881_2_not_null,CHECK,null
game_injected_content,2200_28881_5_not_null,CHECK,null
game_injected_content,2200_28881_4_not_null,CHECK,null
game_injected_content,game_injected_content_kind_check,CHECK,null
game_injected_content,2200_28881_1_not_null,CHECK,null
game_injected_content,2200_28881_11_not_null,CHECK,null
game_injected_content,game_injected_content_created_by_fkey,FOREIGN KEY,created_by
game_injected_content,game_injected_content_game_id_fkey,FOREIGN KEY,game_id
game_injected_content,game_injected_content_pkey,PRIMARY KEY,id
game_injected_kpi,2200_28904_1_not_null,CHECK,null
game_injected_kpi,game_injected_kpi_action_check,CHECK,null
game_injected_kpi,2200_28904_3_not_null,CHECK,null
game_injected_kpi,2200_28904_2_not_null,CHECK,null
game_injected_kpi,2200_28904_8_not_null,CHECK,null
game_injected_kpi,2200_28904_5_not_null,CHECK,null
game_injected_kpi,2200_28904_4_not_null,CHECK,null
game_injected_kpi,game_injected_kpi_game_id_fkey,FOREIGN KEY,game_id
game_injected_kpi,game_injected_kpi_created_by_fkey,FOREIGN KEY,created_by
game_injected_kpi,game_injected_kpi_pkey,PRIMARY KEY,id
game_injected_news,game_injected_news_source_check,CHECK,null
game_injected_news,game_injected_news_severity_check,CHECK,null
game_injected_news,2200_28950_1_not_null,CHECK,null
game_injected_news,2200_28950_2_not_null,CHECK,null
game_injected_news,2200_28950_10_not_null,CHECK,null
game_injected_news,2200_28950_4_not_null,CHECK,null
game_injected_news,2200_28950_3_not_null,CHECK,null
game_injected_news,game_injected_news_day_check,CHECK,null
game_injected_news,game_injected_news_created_by_fkey,FOREIGN KEY,created_by
game_injected_news,game_injected_news_game_id_fkey,FOREIGN KEY,game_id
game_injected_news,game_injected_news_pkey,PRIMARY KEY,id
game_scenario_overrides,game_scenario_overrides_action_check,CHECK,null
game_scenario_overrides,2200_27735_2_not_null,CHECK,null
game_scenario_overrides,2200_27735_4_not_null,CHECK,null
game_scenario_overrides,2200_27735_5_not_null,CHECK,null
game_scenario_overrides,2200_27735_6_not_null,CHECK,null
game_scenario_overrides,2200_27735_1_not_null,CHECK,null
game_scenario_overrides,game_scenario_overrides_game_id_fkey,FOREIGN KEY,game_id
game_scenario_overrides,game_scenario_overrides_updated_by_fkey,FOREIGN KEY,updated_by
game_scenario_overrides,game_scenario_overrides_pkey,PRIMARY KEY,id
game_state_snapshots,2200_17427_4_not_null,CHECK,null
game_state_snapshots,game_state_snapshots_day_check,CHECK,null
game_state_snapshots,2200_17427_1_not_null,CHECK,null
game_state_snapshots,2200_17427_5_not_null,CHECK,null
game_state_snapshots,2200_17427_2_not_null,CHECK,null
game_state_snapshots,2200_17427_3_not_null,CHECK,null
game_state_snapshots,game_state_snapshots_game_id_fkey,FOREIGN KEY,game_id
game_state_snapshots,game_state_snapshots_pkey,PRIMARY KEY,id
games,2200_17295_12_not_null,CHECK,null
games,games_current_day_check,CHECK,null
games,games_difficulty_check,CHECK,null
games,games_game_mode_check,CHECK,null
games,games_max_players_check,CHECK,null
games,games_state_check,CHECK,null
games,games_status_check,CHECK,null
games,2200_17295_1_not_null,CHECK,null
games,2200_17295_2_not_null,CHECK,null
games,2200_17295_3_not_null,CHECK,null
games,2200_17295_4_not_null,CHECK,null
games,2200_17295_5_not_null,CHECK,null
games,2200_17295_6_not_null,CHECK,null
games,2200_17295_7_not_null,CHECK,null
games,2200_17295_11_not_null,CHECK,null
games,games_host_id_fkey,FOREIGN KEY,host_id
games,games_pkey,PRIMARY KEY,id
games,games_join_code_key,UNIQUE,join_code
games,games_session_code_unique,UNIQUE,session_code
messages,2200_17379_2_not_null,CHECK,null
messages,2200_17379_7_not_null,CHECK,null
messages,2200_17379_1_not_null,CHECK,null
messages,2200_17379_4_not_null,CHECK,null
messages,messages_message_type_check,CHECK,null
messages,messages_game_id_fkey,FOREIGN KEY,game_id
messages,messages_player_id_fkey,FOREIGN KEY,player_id
messages,messages_pkey,PRIMARY KEY,id
player_ready,2200_30131_2_not_null,CHECK,null
player_ready,2200_30131_1_not_null,CHECK,null
player_ready,2200_30131_3_not_null,CHECK,null
player_ready,2200_30131_4_not_null,CHECK,null
player_ready,2200_30131_5_not_null,CHECK,null
player_ready,player_ready_game_id_fkey,FOREIGN KEY,game_id
player_ready,player_ready_pkey,PRIMARY KEY,game_id
player_ready,player_ready_pkey,PRIMARY KEY,role
player_ready,player_ready_pkey,PRIMARY KEY,day
players,2200_17312_3_not_null,CHECK,null
players,players_status_chk,CHECK,null
players,players_status_check,CHECK,null
players,players_role_check,CHECK,null
players,2200_17312_2_not_null,CHECK,null
players,2200_17312_1_not_null,CHECK,null
players,2200_17312_12_not_null,CHECK,null
players,2200_17312_7_not_null,CHECK,null
players,2200_17312_5_not_null,CHECK,null
players,2200_17312_4_not_null,CHECK,null
players,players_game_id_fkey,FOREIGN KEY,game_id
players,players_pkey,PRIMARY KEY,id
players,uq_players_game_user,UNIQUE,game_id
players,uq_players_game_user,UNIQUE,user_id
trainer_hints,2200_25579_1_not_null,CHECK,null
trainer_hints,2200_25579_5_not_null,CHECK,null
trainer_hints,2200_25579_2_not_null,CHECK,null
trainer_hints,2200_25579_6_not_null,CHECK,null
trainer_hints,trainer_hints_player_fk,FOREIGN KEY,player_id
trainer_hints,trainer_hints_game_id_fkey,FOREIGN KEY,game_id
trainer_hints,trainer_hints_game_fk,FOREIGN KEY,game_id
trainer_hints,trainer_hints_player_id_fkey,FOREIGN KEY,player_id
trainer_hints,trainer_hints_pkey,PRIMARY KEY,id
trainer_memberships,2200_25402_1_not_null,CHECK,null
trainer_memberships,2200_25402_3_not_null,CHECK,null
trainer_memberships,2200_25402_2_not_null,CHECK,null
trainer_memberships,trainer_memberships_game_id_fkey,FOREIGN KEY,game_id
trainer_memberships,trainer_memberships_pkey,PRIMARY KEY,game_id
trainer_memberships,trainer_memberships_pkey,PRIMARY KEY,user_id
