grantee,table_schema,table_name,privilege_type
anon,public,decisions,TRIGGER
anon,public,decisions,INSERT
anon,public,decisions,SELECT
anon,public,decisions,UPDATE
anon,public,decisions,DELETE
anon,public,decisions,TRUNCATE
anon,public,decisions,REFERENCES
authenticated,public,decisions,INSERT
authenticated,public,decisions,SELECT
authenticated,public,decisions,UPDATE
authenticated,public,decisions,DELETE
authenticated,public,decisions,TRUNCATE
authenticated,public,decisions,REFERENCES
authenticated,public,decisions,TRIGGER
postgres,public,decisions,INSERT
postgres,public,decisions,SELECT
postgres,public,decisions,UPDATE
postgres,public,decisions,DELETE
postgres,public,decisions,TRUNCATE
postgres,public,decisions,REFERENCES
postgres,public,decisions,TRIGGER
anon,public,events,INSERT
anon,public,events,SELECT
anon,public,events,UPDATE
anon,public,events,DELETE
anon,public,events,TRUNCATE
anon,public,events,REFERENCES
anon,public,events,TRIGGER
authenticated,public,events,INSERT
authenticated,public,events,SELECT
authenticated,public,events,UPDATE
authenticated,public,events,DELETE
authenticated,public,events,TRUNCATE
authenticated,public,events,REFERENCES
authenticated,public,events,TRIGGER
postgres,public,events,INSERT
postgres,public,events,TRIGGER
postgres,public,events,REFERENCES
postgres,public,events,TRUNCATE
postgres,public,events,DELETE
postgres,public,events,UPDATE
postgres,public,events,SELECT
anon,public,game_admin_settings,TRIGGER
anon,public,game_admin_settings,REFERENCES
anon,public,game_admin_settings,TRUNCATE
anon,public,game_admin_settings,DELETE
anon,public,game_admin_settings,UPDATE
anon,public,game_admin_settings,SELECT
anon,public,game_admin_settings,INSERT
authenticated,public,game_admin_settings,INSERT
authenticated,public,game_admin_settings,TRIGGER
authenticated,public,game_admin_settings,REFERENCES
authenticated,public,game_admin_settings,TRUNCATE
authenticated,public,game_admin_settings,DELETE
authenticated,public,game_admin_settings,UPDATE
authenticated,public,game_admin_settings,SELECT
postgres,public,game_admin_settings,TRIGGER
postgres,public,game_admin_settings,REFERENCES
postgres,public,game_admin_settings,TRUNCATE
postgres,public,game_admin_settings,DELETE
postgres,public,game_admin_settings,UPDATE
postgres,public,game_admin_settings,SELECT
postgres,public,game_admin_settings,INSERT
anon,public,game_credit_history,SELECT
anon,public,game_credit_history,TRIGGER
anon,public,game_credit_history,REFERENCES
anon,public,game_credit_history,TRUNCATE
anon,public,game_credit_history,DELETE
anon,public,game_credit_history,UPDATE
anon,public,game_credit_history,INSERT
authenticated,public,game_credit_history,TRIGGER
authenticated,public,game_credit_history,INSERT
authenticated,public,game_credit_history,SELECT
authenticated,public,game_credit_history,UPDATE
authenticated,public,game_credit_history,DELETE
authenticated,public,game_credit_history,TRUNCATE
authenticated,public,game_credit_history,REFERENCES
postgres,public,game_credit_history,INSERT
postgres,public,game_credit_history,TRIGGER
postgres,public,game_credit_history,REFERENCES
postgres,public,game_credit_history,TRUNCATE
postgres,public,game_credit_history,DELETE
postgres,public,game_credit_history,UPDATE
postgres,public,game_credit_history,SELECT
anon,public,game_injected_content,TRIGGER
anon,public,game_injected_content,REFERENCES
anon,public,game_injected_content,TRUNCATE
anon,public,game_injected_content,DELETE
anon,public,game_injected_content,UPDATE
anon,public,game_injected_content,SELECT
anon,public,game_injected_content,INSERT
authenticated,public,game_injected_content,INSERT
authenticated,public,game_injected_content,SELECT
authenticated,public,game_injected_content,UPDATE
authenticated,public,game_injected_content,DELETE
authenticated,public,game_injected_content,TRUNCATE
authenticated,public,game_injected_content,REFERENCES
authenticated,public,game_injected_content,TRIGGER
postgres,public,game_injected_content,TRIGGER
postgres,public,game_injected_content,REFERENCES
postgres,public,game_injected_content,TRUNCATE
postgres,public,game_injected_content,DELETE
postgres,public,game_injected_content,UPDATE
postgres,public,game_injected_content,SELECT
postgres,public,game_injected_content,INSERT
anon,public,game_injected_kpi,TRIGGER
anon,public,game_injected_kpi,TRUNCATE
anon,public,game_injected_kpi,DELETE
anon,public,game_injected_kpi,UPDATE
anon,public,game_injected_kpi,SELECT
anon,public,game_injected_kpi,INSERT
anon,public,game_injected_kpi,REFERENCES
authenticated,public,game_injected_kpi,REFERENCES
authenticated,public,game_injected_kpi,INSERT
authenticated,public,game_injected_kpi,SELECT
authenticated,public,game_injected_kpi,UPDATE
authenticated,public,game_injected_kpi,DELETE
authenticated,public,game_injected_kpi,TRUNCATE
authenticated,public,game_injected_kpi,TRIGGER
postgres,public,game_injected_kpi,TRIGGER
postgres,public,game_injected_kpi,INSERT
postgres,public,game_injected_kpi,SELECT
postgres,public,game_injected_kpi,UPDATE
postgres,public,game_injected_kpi,DELETE
postgres,public,game_injected_kpi,TRUNCATE
postgres,public,game_injected_kpi,REFERENCES
anon,public,game_injected_news,INSERT
anon,public,game_injected_news,SELECT
anon,public,game_injected_news,UPDATE
anon,public,game_injected_news,DELETE
anon,public,game_injected_news,TRUNCATE
anon,public,game_injected_news,REFERENCES
anon,public,game_injected_news,TRIGGER
authenticated,public,game_injected_news,INSERT
authenticated,public,game_injected_news,SELECT
authenticated,public,game_injected_news,UPDATE
authenticated,public,game_injected_news,DELETE
authenticated,public,game_injected_news,TRUNCATE
authenticated,public,game_injected_news,REFERENCES
authenticated,public,game_injected_news,TRIGGER
postgres,public,game_injected_news,INSERT
postgres,public,game_injected_news,SELECT
postgres,public,game_injected_news,UPDATE
postgres,public,game_injected_news,DELETE
postgres,public,game_injected_news,TRUNCATE
postgres,public,game_injected_news,REFERENCES
postgres,public,game_injected_news,TRIGGER
anon,public,game_scenario_overrides,INSERT
anon,public,game_scenario_overrides,TRIGGER
anon,public,game_scenario_overrides,REFERENCES
anon,public,game_scenario_overrides,TRUNCATE
anon,public,game_scenario_overrides,DELETE
anon,public,game_scenario_overrides,UPDATE
anon,public,game_scenario_overrides,SELECT
